NSPID,volume,psc,px,py,pz
S1148,2760.0,1.2175839996337892,36.0,-80.0,2.0
S1149,0.0,nan,nan,nan,nan
S1151,0.0,nan,nan,nan,nan
S1152,800.0,0.76659240722656252,30.0,-84.0,4.0
S1153,0.0,nan,nan,nan,nan
S1154,3896.0,1.2560583496093749,42.0,-82.0,0.0
S1155,3488.0,1.0308545684814454,30.0,-92.0,-2.0
S1156,2024.0,1.3023252868652344,34.0,-78.0,2.0
S1157,0.0,nan,nan,nan,nan
S1158,1480.0,1.3969032287597656,42.0,-86.0,-10.0
S1159,232.0,1.225655288696289,38.0,-88.0,-6.0
S1161,536.0,1.2294457244873047,30.0,-84.0,-8.0
S1162,4384.0,1.4050343322753907,32.0,-90.0,0.0
S1163,3712.0,1.2462060546875,32.0,-86.0,0.0
S1164,0.0,nan,nan,nan,nan
S1165,432.0,0.89008506774902341,34.0,-78.0,2.0
S1166,496.0,1.1402790832519532,32.0,-94.0,-2.0
S1167,1176.0,1.0132784271240234,26.0,-90.0,0.0
S1168,1768.0,1.5440635681152344,30.0,-90.0,-6.0
S1169,0.0,nan,nan,nan,nan
S1171,0.0,nan,nan,nan,nan
S1173,0.0,nan,nan,nan,nan
S1174,0.0,nan,nan,nan,nan
S1175,0.0,nan,nan,nan,nan
S1176,0.0,nan,nan,nan,nan
S1177,0.0,nan,nan,nan,nan
S1178,0.0,nan,nan,nan,nan
S1179,448.0,2.17990966796875,40.0,-82.0,2.0
S1180,2064.0,0.96689811706542972,30.0,-86.0,-2.0
S1181,0.0,nan,nan,nan,nan
S1182,888.0,1.4758308410644532,30.0,-86.0,6.0
S1183,4864.0,0.94509040832519531,38.0,-90.0,-2.0
S1184,400.0,0.97079216003417967,34.0,-84.0,-2.0
S1185,0.0,nan,nan,nan,nan
S1186,552.0,0.70146736145019528,32.0,-92.0,10.0
S1188,1528.0,0.95198638916015621,28.0,-82.0,8.0
S1189,920.0,1.1798811340332032,46.0,-80.0,12.0
