NSPID,volume,psc,px,py,pz
S1099,7624.0,1.2967422485351563,44.0,-72.0,12.0
S1100,5544.0,1.3360963439941407,44.0,-76.0,-6.0
S1103,1336.0,1.1183097076416015,42.0,-64.0,2.0
S1104,3696.0,1.6605928039550781,52.0,-66.0,0.0
S1105,4512.0,1.4465617370605468,48.0,-58.0,10.0
S1106,1000.0,1.6692576599121094,46.0,-56.0,12.0
S1107,2568.0,1.1610685729980468,42.0,-82.0,-4.0
S1108,7632.0,1.3670320129394531,46.0,-68.0,0.0
S1109,152.0,0.93947525024414058,42.0,-64.0,4.0
S1110,4144.0,1.2443675994873047,38.0,-76.0,4.0
S1111,6664.0,1.6415396118164063,54.0,-66.0,10.0
S1112,5560.0,1.4628054809570312,44.0,-66.0,6.0
S1113,3080.0,1.5503480529785156,44.0,-64.0,10.0
S1116,4424.0,1.5977607727050782,50.0,-60.0,2.0
S1118,1480.0,1.8225772094726562,44.0,-68.0,4.0
S1119,3976.0,1.3515066528320312,50.0,-72.0,2.0
S1120,4120.0,1.4421438598632812,48.0,-68.0,4.0
S1121,5048.0,1.4450025939941407,40.0,-62.0,6.0
S1122,4088.0,1.4086541748046875,46.0,-60.0,4.0
S1124,6896.0,1.8604833984375,42.0,-68.0,-2.0
S1125,3224.0,1.4737663269042969,46.0,-66.0,-4.0
S1126,5296.0,1.8098768615722656,52.0,-68.0,0.0
S1127,1848.0,1.1787881469726562,44.0,-66.0,4.0
S1129,3024.0,1.3351675415039062,40.0,-72.0,6.0
S1130,7984.0,1.4123410034179686,48.0,-66.0,4.0
S1131,4264.0,1.3765127563476562,42.0,-76.0,2.0
S1132,1040.0,1.1839594268798828,48.0,-72.0,10.0
S1133,3392.0,1.1519672393798828,46.0,-66.0,6.0
S1134,3784.0,1.4209292602539063,48.0,-74.0,0.0
S1135,6064.0,1.1815988159179687,42.0,-70.0,4.0
S1136,1912.0,1.4180569458007812,40.0,-80.0,6.0
S1138,112.0,1.8420962524414062,48.0,-64.0,-2.0
S1139,272.0,1.3861122131347656,56.0,-60.0,6.0
S1140,2512.0,1.7023678588867188,44.0,-70.0,2.0
S1141,6264.0,1.1554058837890624,54.0,-74.0,-6.0
S1143,6136.0,1.1845455169677734,40.0,-64.0,4.0
S1144,2696.0,1.4947323608398437,50.0,-66.0,4.0
S1146,264.0,1.0030509948730468,46.0,-78.0,6.0
S1148,6720.0,1.1825164031982422,46.0,-64.0,0.0
S1149,3688.0,1.455731201171875,44.0,-68.0,-8.0
S1151,0.0,nan,nan,nan,nan
S1152,9040.0,1.5005158996582031,44.0,-56.0,4.0
S1153,10752.0,1.3504551696777343,50.0,-66.0,4.0
S1154,3744.0,0.95568634033203126,42.0,-70.0,2.0
S1155,6392.0,1.4903900146484375,40.0,-66.0,0.0
S1156,6168.0,1.4774148559570313,46.0,-62.0,4.0
S1157,1024.0,1.2123760986328125,46.0,-60.0,0.0
S1158,1496.0,1.4329745483398437,44.0,-66.0,2.0
S1159,1864.0,1.9890090942382812,46.0,-68.0,2.0
S1161,1880.0,1.4019760131835937,44.0,-70.0,0.0
S1162,7168.0,1.9542489624023438,48.0,-70.0,2.0
S1163,12600.0,1.6004319763183594,54.0,-60.0,6.0
S1164,5680.0,0.96679466247558599,42.0,-66.0,0.0
S1165,1176.0,1.1648208618164062,42.0,-64.0,6.0
S1166,2064.0,1.1802381896972656,44.0,-72.0,2.0
S1167,4248.0,1.2727593994140625,50.0,-64.0,14.0
S1168,3872.0,1.6028723144531249,46.0,-70.0,0.0
S1169,1552.0,1.0127538299560548,44.0,-56.0,4.0
S1171,0.0,nan,nan,nan,nan
S1173,616.0,1.1943286132812501,48.0,-66.0,0.0
S1174,2576.0,1.438009033203125,46.0,-64.0,2.0
S1175,0.0,nan,nan,nan,nan
S1176,200.0,1.5599757385253907,42.0,-70.0,-8.0
S1177,6632.0,1.3473915100097655,42.0,-66.0,2.0
S1178,224.0,1.227433319091797,50.0,-64.0,2.0
S1179,1776.0,1.3667826843261719,40.0,-60.0,12.0
S1180,4256.0,1.5984107971191406,52.0,-68.0,2.0
S1181,6440.0,1.1645154571533203,46.0,-66.0,6.0
S1182,3136.0,1.7751100158691406,42.0,-64.0,2.0
S1183,11024.0,1.3180572509765625,50.0,-56.0,2.0
S1184,3560.0,1.4866349792480469,52.0,-74.0,-2.0
S1185,4248.0,1.1440248107910156,44.0,-64.0,0.0
S1186,4576.0,1.5413850402832032,42.0,-60.0,6.0
S1188,5104.0,1.4018817138671875,52.0,-64.0,0.0
S1189,3936.0,1.7533793640136719,46.0,-70.0,4.0
S1190,3744.0,1.6033000183105468,44.0,-68.0,-2.0
S1191,6736.0,1.7925103759765626,48.0,-64.0,0.0
S1193,5904.0,1.548714599609375,56.0,-58.0,6.0
S1195,0.0,nan,nan,nan,nan
S1196,4416.0,1.3600279235839843,50.0,-52.0,2.0
S1197,6416.0,1.5490396118164063,42.0,-60.0,4.0
S1199,192.0,1.3894271850585938,40.0,-66.0,6.0
S1200,3464.0,1.3017198181152343,42.0,-68.0,2.0
S1201,2544.0,1.3825932312011719,40.0,-68.0,12.0
S1202,3688.0,1.8850212097167969,44.0,-66.0,0.0
S1203,0.0,nan,nan,nan,nan
S1204,5136.0,1.6649739074707031,42.0,-68.0,6.0
S1205,8472.0,1.3320394897460937,46.0,-70.0,0.0
S1206,3720.0,1.2670463562011718,42.0,-56.0,6.0
S1207,296.0,1.2747008514404297,42.0,-68.0,4.0
S1208,4560.0,1.6540069580078125,48.0,-70.0,-2.0
S1209,5104.0,1.2552811431884765,44.0,-66.0,-2.0
S1210,3816.0,1.2410478973388672,42.0,-60.0,0.0
S1211,2560.0,1.211621322631836,42.0,-64.0,0.0
S1212,2464.0,1.4156365966796876,48.0,-62.0,4.0
S1213,4216.0,1.2456193542480469,46.0,-68.0,-2.0
S1214,0.0,nan,nan,nan,nan
S1215,2160.0,1.3487510681152344,50.0,-72.0,6.0
S1216,4960.0,1.3797850036621093,46.0,-64.0,0.0
S1217,8320.0,1.3074468994140624,42.0,-68.0,2.0
S1219,1440.0,0.91026847839355474,42.0,-68.0,-4.0
S1220,1352.0,1.1383129119873048,46.0,-72.0,4.0
S1222,1400.0,1.2468257904052735,46.0,-72.0,2.0
S1223,1224.0,1.1636030578613281,46.0,-78.0,2.0
S1225,1776.0,1.4416206359863282,56.0,-70.0,-6.0
S1226,536.0,1.4122657775878906,50.0,-68.0,12.0
S1227,848.0,1.1275920104980468,42.0,-62.0,2.0
S1228,2816.0,1.2753112030029297,42.0,-68.0,-2.0
S1229,648.0,1.2533609771728516,56.0,-66.0,12.0
S1230,3840.0,1.8610256958007811,52.0,-66.0,-2.0
S1231,3696.0,1.1536256408691405,48.0,-62.0,6.0
S1233,2744.0,0.95824790954589845,44.0,-80.0,4.0
S1234,0.0,nan,nan,nan,nan
S1235,1592.0,1.3959466552734374,44.0,-70.0,16.0
S1237,4104.0,1.369216766357422,44.0,-64.0,10.0
S1238,0.0,nan,nan,nan,nan
S1239,3112.0,1.2427220153808594,56.0,-62.0,-4.0
S1240,1096.0,1.5683729553222656,42.0,-62.0,2.0
S1242,3056.0,1.5283026123046874,44.0,-54.0,4.0
S1243,96.0,1.3098709106445312,46.0,-74.0,4.0
S1245,5976.0,1.6362022399902343,46.0,-70.0,-2.0
S1246,4984.0,1.2111006164550782,40.0,-60.0,0.0
S1247,6880.0,1.299147491455078,36.0,-78.0,2.0
S1248,328.0,1.5126296997070312,42.0,-72.0,2.0
S1249,1792.0,1.156583023071289,40.0,-68.0,-2.0
S1250,4704.0,1.4499244689941406,46.0,-66.0,4.0
S1251,5248.0,1.246777572631836,42.0,-72.0,8.0
S1252,7120.0,1.6639883422851562,48.0,-58.0,4.0
S1253,224.0,1.6332156372070312,56.0,-62.0,12.0
S1254,4368.0,1.3850344848632812,50.0,-62.0,12.0
S1255,4104.0,1.7377882385253907,38.0,-78.0,6.0
S1256,1120.0,1.4581040954589843,44.0,-70.0,6.0
S1257,3160.0,1.4569667053222657,44.0,-68.0,-2.0
S1258,1392.0,1.3671986389160156,48.0,-56.0,2.0
S1259,2528.0,1.2327095031738282,50.0,-74.0,6.0
S1260,1056.0,1.5586476135253906,48.0,-70.0,6.0
S1261,5000.0,1.2931936645507813,48.0,-66.0,-2.0
S1262,4216.0,1.8207197570800782,44.0,-62.0,2.0
S1263,1352.0,2.3066033935546875,48.0,-62.0,8.0
S1265,3808.0,1.2079804992675782,48.0,-70.0,0.0
S1267,8648.0,1.3819281005859374,42.0,-76.0,6.0
S1268,8440.0,1.2395195770263672,44.0,-76.0,-2.0
S1269,2440.0,1.3363235473632813,46.0,-62.0,6.0
S1270,2744.0,1.4978199768066407,48.0,-72.0,-2.0
S1271,1984.0,1.9116404724121094,46.0,-52.0,8.0
S1272,10376.0,1.5711546325683594,42.0,-66.0,6.0
S1273,2760.0,1.9116973876953125,42.0,-64.0,-2.0
S1275,2816.0,1.1546188354492188,52.0,-60.0,0.0
S1276,10248.0,1.4196372985839845,56.0,-56.0,10.0
S1277,2840.0,1.2337638854980468,40.0,-60.0,6.0
S1280,2864.0,1.2426398468017579,40.0,-70.0,4.0
S1281,1272.0,1.0123992156982422,50.0,-64.0,-2.0
S1283,0.0,nan,nan,nan,nan
S1284,6576.0,1.6118673706054687,42.0,-58.0,4.0
S1285,3592.0,1.55503173828125,52.0,-62.0,8.0
S1286,56.0,0.94830276489257814,44.0,-58.0,4.0
S1287,3728.0,1.2796472930908203,44.0,-58.0,8.0
S1288,704.0,1.3870657348632813,46.0,-66.0,2.0
S1290,5592.0,1.3160395812988281,48.0,-64.0,6.0
S1291,11880.0,1.7858541870117188,50.0,-60.0,16.0
S1292,10272.0,1.365503692626953,48.0,-62.0,10.0
S1293,3512.0,1.4797442626953126,44.0,-66.0,-2.0
S1294,2440.0,1.3861512756347656,40.0,-70.0,0.0
S1296,4392.0,1.4307557678222655,42.0,-60.0,8.0
S1297,6656.0,1.6592416381835937,42.0,-66.0,4.0
S1298,488.0,1.0613926696777343,40.0,-62.0,4.0
S1300,2832.0,1.0377167510986327,50.0,-60.0,2.0
S1301,1880.0,1.5993322753906249,42.0,-60.0,4.0
S1303,2848.0,0.98918136596679684,48.0,-68.0,6.0
S1304,5784.0,1.5057028198242188,50.0,-62.0,8.0
S1305,1560.0,1.1695250701904296,44.0,-70.0,8.0
S1306,2624.0,1.1536275482177734,44.0,-64.0,6.0
S1307,1464.0,1.0054666900634766,44.0,-68.0,6.0
S1308,1200.0,1.4399078369140625,40.0,-64.0,2.0
S1309,3744.0,1.2183033752441406,42.0,-62.0,4.0
S1310,1728.0,1.2133003997802734,46.0,-60.0,12.0
S1311,4448.0,1.4098658752441406,44.0,-56.0,2.0
S1312,3048.0,1.633955841064453,48.0,-66.0,4.0
S1313,4856.0,1.0019115447998046,46.0,-66.0,10.0
S1314,6080.0,1.2364466857910157,48.0,-74.0,4.0
S1315,864.0,1.7397999572753906,52.0,-60.0,0.0
S1317,0.0,nan,nan,nan,nan
