NSPID,volume,psc,px,py,pz
S0233,4264.0,1.2958389282226563,-54.0,-68.0,8.0
S0234,2552.0,1.0573026275634765,-44.0,-66.0,8.0
S0236,376.0,0.88055351257324221,-42.0,-78.0,4.0
S0237,1952.0,1.5066204833984376,-44.0,-76.0,10.0
S0239,5488.0,0.79600921630859378,-42.0,-64.0,2.0
S0242,616.0,1.0552639770507812,-48.0,-74.0,6.0
S0243,880.0,0.86405380249023434,-42.0,-68.0,2.0
S0244,2392.0,1.1665995788574219,-40.0,-68.0,6.0
S0245,1576.0,1.4038665771484375,-44.0,-70.0,4.0
S0246,2576.0,1.0030963134765625,-42.0,-78.0,4.0
S0247,2768.0,1.2983914184570313,-46.0,-66.0,18.0
S0249,3568.0,1.1139745330810547,-46.0,-76.0,0.0
S0250,6120.0,1.0747667694091796,-46.0,-74.0,4.0
S0252,2256.0,0.80703826904296871,-40.0,-82.0,4.0
S0256,944.0,1.2948521423339843,-50.0,-70.0,12.0
S0261,0.0,nan,nan,nan,nan
S0262,1656.0,1.0134188842773437,-44.0,-72.0,0.0
S0264,4832.0,1.29289794921875,-46.0,-70.0,2.0
S0265,4376.0,1.3650846862792969,-42.0,-78.0,6.0
S0267,5016.0,1.0248610687255859,-42.0,-72.0,10.0
S0268,3504.0,1.1315272521972657,-54.0,-72.0,2.0
S0270,1656.0,1.350734100341797,-48.0,-72.0,-2.0
S0271,2680.0,1.2525708007812499,-46.0,-70.0,-2.0
S0272,5600.0,1.6183999633789063,-38.0,-84.0,-2.0
S0274,0.0,nan,nan,nan,nan
S0275,7272.0,1.122181396484375,-40.0,-68.0,8.0
S0277,464.0,1.150450210571289,-50.0,-64.0,10.0
S0278,4072.0,1.3535971069335937,-42.0,-78.0,4.0
S0280,7040.0,1.0991385650634766,-48.0,-74.0,12.0
S0282,4520.0,1.2311199951171874,-48.0,-72.0,6.0
S0283,5368.0,1.2302799224853516,-40.0,-74.0,6.0
S0284,960.0,1.1263320159912109,-44.0,-76.0,8.0
S0286,992.0,1.276117935180664,-44.0,-80.0,8.0
S0287,2296.0,1.5705647277832031,-46.0,-70.0,12.0
S0288,4216.0,1.777840576171875,-40.0,-76.0,4.0
S0292,0.0,nan,nan,nan,nan
S0294,3336.0,1.2318425750732422,-48.0,-74.0,0.0
S0295,0.0,nan,nan,nan,nan
S0296,6824.0,1.1705796813964844,-50.0,-72.0,2.0
S0299,1608.0,1.0689264678955077,-42.0,-72.0,16.0
S0302,2112.0,1.1991184997558593,-42.0,-68.0,4.0
S0303,3352.0,1.2705877685546876,-40.0,-72.0,0.0
S0305,1256.0,1.1827799987792968,-34.0,-80.0,0.0
S0308,4080.0,1.1313806915283202,-50.0,-70.0,12.0
S0311,5408.0,1.4912440490722656,-48.0,-76.0,14.0
S0312,3080.0,1.2631650543212891,-44.0,-70.0,4.0
S0313,4232.0,1.3321751403808593,-42.0,-70.0,2.0
S0314,4008.0,1.3623246765136718,-46.0,-68.0,6.0
S0317,7216.0,1.0237526702880859,-50.0,-72.0,4.0
S0318,1600.0,1.0507167053222657,-42.0,-68.0,10.0
S0322,472.0,1.4071522521972657,-48.0,-76.0,12.0
S0323,5016.0,1.0063574981689454,-42.0,-68.0,2.0
S0324,2712.0,1.1920360565185546,-42.0,-76.0,8.0
S0325,4208.0,1.5623803710937501,-52.0,-70.0,4.0
S0327,3040.0,0.73033607482910157,-50.0,-70.0,10.0
S0328,2984.0,1.1908337402343749,-44.0,-72.0,0.0
S0329,4600.0,1.4001545715332031,-40.0,-68.0,6.0
S0330,7984.0,1.4184503173828125,-48.0,-76.0,4.0
S0332,3320.0,1.1987737274169923,-44.0,-78.0,2.0
S0334,3280.0,1.1387750244140624,-48.0,-72.0,4.0
S0335,288.0,0.74838432312011716,-46.0,-76.0,4.0
S0337,4696.0,1.1224447631835937,-52.0,-68.0,18.0
S0338,13400.0,1.4354342651367187,-44.0,-80.0,-4.0
S0342,2304.0,1.1836863708496095,-38.0,-68.0,-4.0
S1001,3696.0,1.3419808959960937,-38.0,-72.0,4.0
S1002,0.0,nan,nan,nan,nan
S1003,752.0,1.0554870605468749,-42.0,-66.0,10.0
S1005,5112.0,1.1470642852783204,-40.0,-80.0,2.0
S1006,4560.0,1.0270364379882813,-38.0,-70.0,10.0
S1007,1592.0,1.1176183319091797,-38.0,-70.0,6.0
S1008,5600.0,1.1528590393066407,-44.0,-70.0,0.0
S1009,2040.0,1.2675288391113282,-48.0,-72.0,0.0
S1011,3656.0,1.1461164093017577,-40.0,-68.0,6.0
S1012,2976.0,1.7010688781738281,-40.0,-70.0,4.0
S1013,2024.0,0.91318664550781248,-44.0,-84.0,0.0
S1014,1400.0,1.3988214111328126,-38.0,-68.0,4.0
S1016,4720.0,1.3333384704589843,-50.0,-54.0,10.0
S1017,1912.0,1.1595071411132813,-46.0,-74.0,8.0
S1018,0.0,nan,nan,nan,nan
S1019,3824.0,0.90693099975585934,-46.0,-74.0,4.0
S1020,1096.0,1.3253700256347656,-50.0,-76.0,10.0
S1022,1472.0,1.8741928100585938,-44.0,-76.0,2.0
S1027,6256.0,1.2637232208251954,-40.0,-68.0,4.0
S1028,1080.0,1.5045162963867187,-46.0,-76.0,0.0
S1029,4992.0,1.0539808654785157,-46.0,-62.0,10.0
S1030,6920.0,1.4343354797363281,-48.0,-66.0,0.0
S1032,1672.0,1.1917809295654296,-40.0,-72.0,4.0
S1034,0.0,nan,nan,nan,nan
S1035,2664.0,1.4037951660156249,-46.0,-76.0,8.0
S1036,1344.0,1.0558695983886719,-40.0,-68.0,6.0
S1037,2880.0,1.7490673828125001,-44.0,-68.0,4.0
S1038,2856.0,1.3475668334960937,-40.0,-78.0,4.0
S1039,3200.0,1.3985044860839844,-42.0,-76.0,2.0
